detector,table_detector,series_id,hp,selected_window,seed,repo_commit,score_hash_run1,score_hash_run2,hash_match,score_length,score_length_match,finite_ratio,finite_ratio_run2,pinned_vus,local_vus,local_vus_abs_diff,historical_vus,historical_vus_abs_diff,status,runtime_sec,error
Sub_LOF,Sub-LOF,141_MSL_id_2_Sensor_tr_500_1st_550.csv,"{'periodicity': 2, 'n_neighbors': 30}",264.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,13c9361e7e2780c681fd8ac9dcf9f151e3bf99f8638b30266aab8150ed163eea,13c9361e7e2780c681fd8ac9dcf9f151e3bf99f8638b30266aab8150ed163eea,True,2264,True,1.0,1.0,0.6809829834078494,0.6809829834078494,0.0,0.565851771206375,0.11513121220147438,PASS,5.081780910491943,
Sub_LOF,Sub-LOF,179_SMD_id_2_Facility_tr_5925_1st_17580.csv,"{'periodicity': 2, 'n_neighbors': 30}",125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,572241832f571d145b9423dd21d3e63fa55cad4712cb0bd4eba451a72c5c6d7c,572241832f571d145b9423dd21d3e63fa55cad4712cb0bd4eba451a72c5c6d7c,True,23703,True,1.0,1.0,0.9525777249515346,0.9525777249515346,0.0,0.0059803921447027,0.9465973328068319,PASS,2.90716290473938,
LOF,LOF,001_NAB_id_1_Facility_tr_1007_1st_2014.csv,{'n_neighbors': 50},6.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,78866f462d97c64c3b83d90725ce463e74ebc19f6a795463ceb6c3f1aabd5c84,78866f462d97c64c3b83d90725ce463e74ebc19f6a795463ceb6c3f1aabd5c84,True,4031,True,1.0,1.0,0.1387761936524937,0.1387761936524937,0.0,0.138738926487346,3.72671651476808e-05,PASS,0.18506240844726562,
LOF,LOF,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,{'n_neighbors': 50},125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,24d3f7a4fdd24ecb2a6e31f7bb8f625b1f599836aa1f65b169c187ab500a67bc,24d3f7a4fdd24ecb2a6e31f7bb8f625b1f599836aa1f65b169c187ab500a67bc,True,18219,True,1.0,1.0,0.23909221611895806,0.23909221611895806,0.0,0.239465639692308,0.0003734235733499347,PASS,4.977591037750244,
LOF,LOF,141_MSL_id_2_Sensor_tr_500_1st_550.csv,{'n_neighbors': 50},264.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,3a51f0f8bad9301945885a67f8fe5aa3d705737be70facd86df4f048720586da,3a51f0f8bad9301945885a67f8fe5aa3d705737be70facd86df4f048720586da,True,2264,True,1.0,1.0,0.29205229410516464,0.29205229410516464,0.0,0.291810090570714,0.0002422035344506468,PASS,3.805082082748413,
LOF,LOF,179_SMD_id_2_Facility_tr_5925_1st_17580.csv,{'n_neighbors': 50},125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,eb071aeff2e6e4ffdee3a7ad5c74359852485c59f3f2f806727eb5eea3216ebc,eb071aeff2e6e4ffdee3a7ad5c74359852485c59f3f2f806727eb5eea3216ebc,True,23703,True,1.0,1.0,0.014399690490663876,0.014399690490663876,0.0,0.0145817562703149,0.00018206577965102465,PASS,1.8175420761108398,
MatrixProfile,MatrixProfile,001_NAB_id_1_Facility_tr_1007_1st_2014.csv,{'periodicity': 1},6.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,ed7a38e2dcd4a64ab6c1d962b1e87d88e7dfc02411da56387ae275a5f81a9ebb,ed7a38e2dcd4a64ab6c1d962b1e87d88e7dfc02411da56387ae275a5f81a9ebb,True,4031,True,1.0,1.0,0.09396621306172089,0.09396621306172089,0.0,0.0939662130617208,8.326672684688674e-17,PASS,27.297792673110962,
MatrixProfile,MatrixProfile,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,{'periodicity': 1},125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,42d64e79bc880e598f3d1d1006d31c9340f446cc1d5054360f8c729c0a51d001,42d64e79bc880e598f3d1d1006d31c9340f446cc1d5054360f8c729c0a51d001,True,18219,True,1.0,1.0,0.006637728773615001,0.006637728773615001,0.0,0.006637728773615,8.673617379884035e-19,PASS,5.0875701904296875,
MatrixProfile,MatrixProfile,141_MSL_id_2_Sensor_tr_500_1st_550.csv,{'periodicity': 1},264.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,990befe62883494381e4bba7c773175f15ce393a5b264277e9b7c92aa31f0ff1,990befe62883494381e4bba7c773175f15ce393a5b264277e9b7c92aa31f0ff1,True,2264,True,1.0,1.0,0.4817764267246831,0.4817764267246831,0.0,0.481776426724683,1.1102230246251565e-16,PASS,3.9369711875915527,
MatrixProfile,MatrixProfile,179_SMD_id_2_Facility_tr_5925_1st_17580.csv,{'periodicity': 1},125.0,2024,8b363e350ae047a8115a594d1e9da64aae09b852,9869fbf352d782dabe2af772eba5adb3d05ccc7c376f031d6b9e639816b2c7bb,9869fbf352d782dabe2af772eba5adb3d05ccc7c376f031d6b9e639816b2c7bb,True,23703,True,1.0,1.0,0.0319262373137668,0.0319262373137668,0.0,0.0319262373137668,0.0,PASS,2.594604253768921,
