detector,omitted_source,CDU_without_source,method
MOMENT_FT,WSD,-9.15429572681474e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_FT,YAHOO,-6.807854919931342e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,CATSv2,-9.55054765722821e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,Daphnet,-9.982213760015937e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,Exathlon,-0.00014248852727350773,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,IOPS,-8.711276864260624e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,LTDB,-2.36795868698861e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,MGAB,-8.144481969399858e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,MITDB,-6.603880875977315e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,MSL,-0.00016065349193570527,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,NAB,-8.442888069152848e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,NEK,-0.00011708347494713611,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,OPPORTUNITY,3.436567038916569e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,Power,-6.356372205057305e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,SED,7.792761013012015e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,SMAP,-0.00013243609254191555,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,SMD,-8.667423923258358e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,SVDB,-8.908118304149782e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,SWaT,3.4717007655799714e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,Stock,-5.445715755760384e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,TAO,-0.0001715295898542594,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,TODS,-8.713985801593431e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,UCR,-7.453672035889064e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,WSD,-8.8683384939219e-05,reaggregate existing OOF losses; no probe refitting
MOMENT_ZS,YAHOO,-7.256452650133211e-05,reaggregate existing OOF losses; no probe refitting
M2N2,CATSv2,0.011288303377946061,reaggregate existing OOF losses; no probe refitting
M2N2,Daphnet,0.01114391306713758,reaggregate existing OOF losses; no probe refitting
M2N2,Exathlon,0.009539289511099556,reaggregate existing OOF losses; no probe refitting
M2N2,IOPS,0.01154058167039279,reaggregate existing OOF losses; no probe refitting
