Detector,CDU,min_leave_one_source_out,max_leave_one_source_out,positive_reaggregations,n_reaggregations,probe_refit,sign_stable
AnomalyTransformer,0.00046856250248833214,4.962110638206999e-05,0.0006696848288632245,23,23,False,True
FITS,-0.0003661426921295615,-0.0005423524225896006,0.000439684566055663,1,23,False,False
M2N2,0.01101977435039611,0.007213786629436547,0.013268493583158791,23,23,False,True
MOMENT_FT,-7.020255250811974e-05,-0.0002164943389465752,0.00029586884888503385,4,23,False,False
MOMENT_ZS,-7.530061560458486e-05,-0.00017152958985426598,7.792761013011128e-05,3,23,False,False
POLY,0.0006282363360729357,0.0002917807559619191,0.0017265842481538826,23,23,False,True
SubPCA,0.01122240057318108,0.00510159153242456,0.014164948165045925,23,23,False,True
TimesNet,-0.0003654315073031782,-0.0003895610557308863,-3.2271423564581714e-05,0,23,False,True
TranAD,0.0027485079513317914,0.0005020341929954684,0.0046276476174002545,23,23,False,True
