probe,detector_A,detector_B,delta_CDU,ci_low,ci_high,simultaneous9_low,simultaneous9_high,n_sources,positive_sources
linear,POLY,MOMENT_FT,0.0006737542965988181,-0.002010858476280604,0.0026951769579675005,-0.0025306726161795096,0.0038781812093771455,23,17
linear,POLY,MOMENT_ZS,0.0007291218243880309,-0.0017682338359952929,0.0026924124547538938,-0.0022946875577685823,0.0037529312065446444,23,16
linear,MOMENT_FT,MOMENT_ZS,5.536752778921293e-05,-0.0006263374942813709,0.0006333318588296166,-0.0007973413700422412,0.000908076425620667,23,18
spline,POLY,MOMENT_FT,0.005050048673884318,0.0017221505567977214,0.008600992252433645,0.0003614653085324453,0.009738632039236191,23,15
spline,POLY,MOMENT_ZS,0.005931830033799904,0.002410677149079703,0.009607669270915322,0.001056771034439681,0.010806889033160128,23,19
spline,MOMENT_FT,MOMENT_ZS,0.0008817813599155857,0.00021563327880607235,0.0015531836785417147,-1.005737876806829e-05,0.0017736200985992397,23,18
hgb,POLY,MOMENT_FT,0.002093905813457705,-0.0019392542470293552,0.00568693671979669,-0.0030499052297638784,0.007237716856679288,23,14
hgb,POLY,MOMENT_ZS,0.002834924967604943,-0.0017456165142072646,0.006908428864065416,-0.0030095814317149102,0.008679431366924797,23,16
hgb,MOMENT_FT,MOMENT_ZS,0.0007410191541472387,-0.00042489224228619307,0.0020322197967392952,-0.0009003138550399152,0.002382352163334393,23,12
