dropped_family,rho_vs_full_basis,max_abs_cdu_change,n_detectors
variance,0.8666666666666667,0.0006121547231102992,9
range,0.9833333333333333,0.0006175437422047,9
next_difference,0.9833333333333333,0.0011509304910661995,9
centered_placement,0.9666666666666667,0.000161460110860899,9
absolute_difference,0.9833333333333333,0.0001940303093133991,9
mad,0.9833333333333333,0.0001195073519650999,9
spectral_entropy,0.9666666666666667,0.00030923507808999946,9
