probe,L_prior,L_basis,basis_utility,CI_low,CI_high
linear,0.33695587535254123,0.3374620682999873,-0.0005061929474460511,-0.0314895545899622,0.025529644062407535
spline,0.33695587535254123,0.28912063847177644,0.047835236880764846,0.024193982101077385,0.07426456945902571
hgb,0.33695587535254123,0.2869373902904592,0.05001848506208203,0.025160328359290027,0.07755125020794047
