detector,series_id,length_y,length_score,finite_ratio,official_vus,default100_vus,official_window,official_window_vus,abs_diff_default,abs_diff_official_window,window_changed
Sub-PCA,010_NAB_id_10_WebService_tr_500_1st_271.csv,1000,1000,1.0,0.756991423296264,0.6805944494667308,142,0.7570764181400647,0.07639697382953325,8.499484380064537e-05,True
Sub-PCA,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,18219,18219,1.0,0.145660787288572,0.12411363740966112,125,0.14561757245549728,0.02154714987891089,4.321483307473395e-05,True
Sub-PCA,331_UCR_id_29_Facility_tr_50000_1st_837400.csv,900000,900000,1.0,0.0020636378505738,0.0020516830673319424,125,0.0020636288879391862,1.195478324185744e-05,8.962634613640663e-09,True
POLY,010_NAB_id_10_WebService_tr_500_1st_271.csv,1000,1000,1.0,0.568281576668508,0.5006586511205581,142,0.5682815766685084,0.06762292554794991,4.440892098500626e-16,True
POLY,039_WSD_id_11_WebService_tr_1746_1st_1846.csv,18219,18219,1.0,0.475472383610916,0.4149103062383094,125,0.47166063599341906,0.060562077372606604,0.003811747617496919,True
POLY,331_UCR_id_29_Facility_tr_50000_1st_837400.csv,900000,900000,1.0,0.0017771448798895,0.0017087711140848889,125,0.0017145847051044207,6.837376580461118e-05,6.256017478507934e-05,True
