file,ts_len,Var-8,Var-16,Var-32,Var-64,Var-96,Var-128,Var-256,Range-8,Range-16,Range-32,Range-64,Range-96,Range-128,Range-256,Last-1,Last-2,Last-3,Last-8,Last-16,Last-32,Last-64,Centered-3,Centered-16,Centered-64,AbsDiff-1,AbsDiff-4,AbsDiff-16,MAD-32,MAD-128,SpecEnt-64,SpecEnt-256
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,4031.0,0.2394298115610752,0.318562096681965,0.4264657952699425,0.6065528907899737,0.8108489636315479,0.9678655528963492,0.693324199394112,0.2288981113075378,0.3142743696914656,0.4601734517729536,0.6670800486245817,0.8561220073174257,0.988309108228951,0.6976576301656537,0.1687259599306129,0.16833782612462,0.1731459504827804,0.1828345502976576,0.1861656427746564,0.1785321162709075,0.1758631528555013,0.1819525862224697,0.2140319102553637,0.2905190073448898,0.1687259599306129,0.2016640305344504,0.3017970623330546,0.1862619372770052,0.1637785629061117,0.2707174216221969,0.2480280631282649
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,6000.0,0.1636792380342163,0.1985829082203734,0.250445161570511,0.340485769641229,0.4304978451568163,0.5210252955588346,0.8366425662957372,0.167138800379429,0.2121555089944334,0.2631452901455949,0.3554360499445855,0.4525856673516731,0.5451116767776998,0.8676199284859468,0.1385476015503688,0.132054884047327,0.131789044857857,0.1461584490641947,0.1578065400564672,0.1751782638376334,0.2156783918038027,0.13168573181822,0.157499524821102,0.214281908620328,0.1385476015503688,0.1533325235893258,0.2009117176948661,0.1533878146540158,0.1035626348196591,0.127710002290408,0.2201727304599444
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,2379.0,0.1000037272824688,0.1043700628409261,0.112180074854454,0.1339102335327112,0.1477279057530559,0.1614747925386715,0.2469452304657688,0.1087785923982259,0.1234357708551689,0.1851584631639103,0.350986092982307,0.4705929968588965,0.5910637079348153,0.9889489708282044,0.0990134244849643,0.1019917450691462,0.1026922450653746,0.1030208601843406,0.1071942093487602,0.1121409030546966,0.1196737228184584,0.1028390836157106,0.1079307085679866,0.1240869222865566,0.0990134244849643,0.0957529998276581,0.101179422634706,0.1144760923820547,0.0765820785845967,0.0972465927138708,0.0637064488812237
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,10319.0,0.0969872188622235,0.0925967675166165,0.091567794739026,0.0911782566855944,0.0914151259297233,0.1092069422128016,0.1481732972291833,0.0966180154686017,0.0928308681224989,0.0950600828769462,0.1189735904227238,0.1579125827833505,0.1986536819919931,0.3393779286232479,0.0997256598386649,0.0993857474468931,0.1000780726010221,0.1019443330906774,0.0998655180406504,0.1107347877477391,0.111763927983662,0.1001130503886503,0.0999485994391395,0.1111899065981877,0.0997256598386649,0.0962449401803338,0.0864651363535534,0.105162128970354,0.283972384487264,0.1225704044074313,0.2180709931765718
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,4031.0,0.3805172029900643,0.5867404109385349,0.7582191834602096,0.8122471460550297,0.8323557119570227,0.8497049907615204,0.9311801361022584,0.3662255900503537,0.453880385389558,0.5342086827705148,0.5750343148605753,0.5963801022666947,0.6187456821392773,0.7670307636537858,0.2072618906339093,0.2129992530185177,0.2370162905317871,0.3425266996937947,0.4122227304476927,0.4638974036408029,0.4606851381162787,0.2381201414549058,0.4228888118168517,0.5206211703967067,0.2072618906339093,0.2590213644060507,0.4999632554328398,0.2957201235462496,0.1146869782222786,0.06679718024034,0.0559783072515178
009_NAB_id_9_Traffic_tr_500_1st_438.csv,2161.0,0.1769162728262085,0.1767882302087905,0.2105435484730583,0.2505846324692834,0.2485665028887292,0.2510147473914265,0.2767659422705967,0.1804960990676811,0.1802579858831551,0.2015472498820553,0.2235414924469138,0.2494847312499021,0.2758758670721511,0.2539592394116255,0.1617440783929543,0.1596520907897827,0.1596667791749354,0.1620962116622348,0.1711380672759684,0.1694516842700416,0.1736006440580616,0.1610069260268764,0.1744950849836075,0.2088745680581922,0.1617440783929543,0.1766696884942121,0.2107074957691236,0.2439403890057973,0.6551653792755677,0.1008132821767709,0.0844584938872949
010_NAB_id_10_WebService_tr_500_1st_271.csv,1000.0,0.4032100251165446,0.5474698549841404,0.8162867679606667,0.976305791300574,0.8574402228775063,0.6906005777915771,0.4774002149203095,0.4082866653815282,0.5523211643987362,0.823483221667742,0.9704386938928612,0.8506052905448238,0.7335164488999533,0.4651506828890193,0.3052170671552162,0.3224208587029332,0.3120985632057748,0.3747119341061022,0.4397923721699289,0.4185923117378985,0.3952761163927016,0.3136524638779051,0.433061657633676,0.3241816046194294,0.3052170671552162,0.3566185471444449,0.5393307379962642,0.3754031378641247,0.273830438836239,0.7327568548789734,0.3972093721915343
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,4031.0,0.3831936966225015,0.4488575776251797,0.5536402384062117,0.7072631283486053,0.819746860646268,0.9121519326645404,0.9953607220616316,0.3954643690061696,0.5017056966946704,0.5922289339110409,0.7167207943904386,0.8397073096852218,0.9118549848195248,0.99253697016542,0.2096853912389631,0.1980194959869453,0.1964171919508281,0.2190621780704923,0.2453056622150481,0.3066897049475495,0.4304065086167623,0.1968060504792637,0.2467829109567276,0.4377828139801957,0.2096853912389631,0.281846373368967,0.4024660970503444,0.1912864090787812,0.4047899834524603,0.1869957975398557,0.0774834650369406
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,2494.0,0.318583444455423,0.4237084425572647,0.571510729242683,0.7504399123182166,0.9192995386770988,0.988438533947655,0.6727281918950034,0.3161453454159525,0.4016805694571108,0.5536326468079363,0.7373291936802826,0.939402545793964,0.934907775142648,0.7199953696226589,0.1836983823431549,0.1943763453496815,0.2098111163143121,0.2775334517319072,0.3489143953639294,0.3937075597128854,0.3611954729675929,0.2096481468642552,0.3465752141753455,0.3423834125169991,0.1836983823431549,0.2459491766324893,0.3338204557957549,0.2916509251887316,0.2313410123361207,0.0750980690864883,0.0801264501159565
014_NAB_id_14_WebService_tr_500_1st_1045.csv,1537.0,0.1421501017481603,0.1923319724837005,0.2913494232554773,0.4896306648083102,0.6837480950134441,0.4660237730321457,0.2813186217024002,0.1393934534279068,0.1899791438747443,0.288913206073328,0.4887279756684146,0.6975282418729667,0.8801972223059604,0.7495715171374717,0.10475593029984,0.1113519191555902,0.1181535608550681,0.1187311677445388,0.1237614959358628,0.1205968059622648,0.1242986810645349,0.1181715118608062,0.1251568533230255,0.1259593399410555,0.10475593029984,0.1124738452119674,0.1737798258599734,0.1010370378673955,0.0993948904481499,0.4848400985611841,0.6429419136203993
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,4031.0,0.1157700181156707,0.1196193016858278,0.1215101043887387,0.1173937844148876,0.1070092964882852,0.0983841654964742,0.0845563035474494,0.115272365221718,0.1153741849920235,0.1145190248114625,0.1100665284256568,0.0991254346804248,0.0905044595899619,0.0882028027836003,0.1179405989181675,0.1193577763920175,0.1185954286285174,0.1173803627353091,0.1181580022227965,0.1183045745391639,0.1140104531783658,0.1186827526056365,0.1184089197508939,0.1144112388610282,0.1179405989181675,0.1129409459343654,0.1082142788230601,0.1154048384281239,0.1118959150176521,0.1421926068441594,0.5067032812377221
016_NAB_id_16_Environment_tr_1816_1st_3540.csv,7266.0,0.1357537740096253,0.1463765667851586,0.1707747901289577,0.1810263359794009,0.1986872279767713,0.2244961424769584,0.2441544287956498,0.137270315691904,0.1502020760870615,0.1771619792714891,0.1958586938220866,0.2206302828760042,0.2586792626983241,0.2829201585993762,0.1205488733845581,0.1228039506291731,0.1263147475015369,0.1347191217876201,0.1368968825313799,0.1450771487638474,0.1586597017499652,0.1264188483954232,0.1373749698116975,0.1633403715469216,0.1205488733845581,0.1293363440017595,0.1548858435155069,0.1521068019624404,0.2220992728173616,0.0970103360939235,0.0778190416771734
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,4031.0,0.1286598510342371,0.1200285235950895,0.1601733054178895,0.2249553750437008,0.369628884355606,0.3889105241778365,0.7029501361269874,0.114700092672918,0.1151992911764295,0.1153270827841067,0.1148045609145833,0.1102604131133901,0.1102604131133901,0.1102604131133901,0.1121512773486163,0.1136912081870254,0.1143315561925378,0.1169447557293601,0.1169815188472412,0.1247768988816691,0.1656365601309998,0.1142161325518433,0.1170491512648723,0.1642352902220271,0.1121512773486163,0.1149386101370531,0.1226341478495206,0.0,0.0,0.1001572799817229,0.6251274978778922
