folds,interface,L_prior,L_basis,basis_utility,CI_low,CI_high,positive_series,n_series
5,legacy,0.263385407611087,0.2422612726091944,0.0211241350018926,0.0108409965968158,0.0310854825408264,249,350
5,symmetric_rank,0.263385407611087,0.2422612726091944,0.0211241350018926,0.0108409965968158,0.0310854825408264,249,350
10,legacy,0.2634322955661679,0.2423950885344823,0.0210372070316854,0.0104851968486718,0.0314406297470823,246,350
10,symmetric_rank,0.2634322955661679,0.2423950885344823,0.0210372070316854,0.0104851968486718,0.0314406297470823,246,350
