seed,detector,CDU,CI_low,CI_high
0,SubPCA,0.0150869306724677,0.002562782782097,0.0296420106527118
0,POLY,0.0060399315393557,0.0024586997433203,0.0096881543267809
0,MOMENT_FT,0.0009898828654713,-7.999512314045285e-06,0.0020774904333917
0,MOMENT_ZS,0.0001081015055557,-0.00087759891667,0.0011260167145278
0,M2N2,0.0127216285438859,0.0007538424078841,0.0261438936774345
0,TranAD,0.0048447656452091,-0.0016211225481823,0.0126305934343937
0,TimesNet,0.001326505276251,-0.0001524038756306,0.002995828277601
0,FITS,0.0010912805899424,-7.562055593519446e-05,0.0022137069481779
0,AnomalyTransformer,0.000148456935141,-0.0012912351716404,0.001666004397068
1,SubPCA,0.0150102234038656,0.0031794206556204,0.0287372917784541
1,POLY,0.0062304838369055,0.0025833824900958,0.0100067359879321
1,MOMENT_FT,0.0009636032904974,-0.0001626603200403,0.0021878431066108
1,MOMENT_ZS,0.0001885018774884,-0.0009130908735328,0.0013449836146776
1,M2N2,0.0126997719743605,0.0006882736961377,0.0261080716732407
1,TranAD,0.0048469550171401,-0.0013831669270363,0.0123478479520084
1,TimesNet,0.0012909733863854,-2.791461517750913e-05,0.0027881235076191
1,FITS,0.0011381258393963,-4.22857904793661e-05,0.0022669946245727
1,AnomalyTransformer,0.0001949169567482,-0.0011976549003206,0.0016841244922703
2,SubPCA,0.0149318083671701,0.002329477383618,0.0294882827583239
2,POLY,0.0062927870003756,0.0023639899367772,0.0103655046492772
2,MOMENT_FT,0.0008182611369076,-0.0003325938904836,0.0020971259175941
2,MOMENT_ZS,0.0001006400125716,-0.0010057151335667,0.0012209144504575
2,M2N2,0.012757270802938,0.0006991635224125,0.0262995518851588
2,TranAD,0.0046753075149159,-0.0018988676969459,0.0125667185398677
2,TimesNet,0.0011476345247827,-1.3148029717076629e-05,0.0024295304729635
2,FITS,0.001010355995551,-2.690957891527596e-05,0.0020136278098912
2,AnomalyTransformer,0.0001377458403622,-0.0013280850013188,0.0016903613083194
3,SubPCA,0.0151049033031315,0.0023135061563776,0.0298800681133798
3,POLY,0.0063433662448333,0.0026385060254599,0.0101348284406992
3,MOMENT_FT,0.0008630128272821,-0.0001734699536735,0.0020089560706326
3,MOMENT_ZS,0.0002102381124212,-0.0009285830239229,0.0013682912868137
3,M2N2,0.0126457373938631,0.0006301285382348,0.0262129391830772
3,TranAD,0.0046875204497259,-0.0016352722154582,0.0122535397528365
3,TimesNet,0.0012377686164785,5.492535746978042e-06,0.0026072711731731
3,FITS,0.0010777238938917,-8.059241457101049e-05,0.0021755538563664
3,AnomalyTransformer,0.0002181113609646,-0.0012194329974938,0.001745081128138
4,SubPCA,0.0151036069841624,0.0028191667489925,0.0294573993753573
4,POLY,0.0060744384224873,0.0024888209045252,0.0097451321045774
4,MOMENT_FT,0.0008349981986083,-0.0001854103238723,0.0019623973331231
4,MOMENT_ZS,7.414174644538085e-05,-0.0009743916281323,0.0010897987189659
4,M2N2,0.0127838292402604,0.0007920465950778,0.0262789110529427
4,TranAD,0.004691331091476,-0.0014167379666159,0.0120785935035843
4,TimesNet,0.0012475007296417,-0.0001459137368852,0.0028436615118974
4,FITS,0.0011636137885075,-9.271239527390076e-05,0.0023760273268886
4,AnomalyTransformer,0.0001184020928014,-0.0012574662701191,0.0015656373412631
