detector,L_null,L_basis,L_detector,L_basis_detector,basis_utility,detector_utility,CDU,CDU_CI_low,CDU_CI_high,positive_source_fraction,bootstrap_prob_source_macro_positive,n_sources,n_series,protocol_version,summary_source
complementary_alpha_0p25,0.3369558753525412,0.3373680974087537,0.3346979205064079,0.3351344879011072,-0.0004122220562123,0.0022579548461333,0.0022336095076462,0.0015863023488595,0.0029023543080123,0.9565217391304348,1.0,23,350,CDU-protocol-v1,protocol_v1_results/controls/complementary_alpha_0p25/SUMMARY.csv
exact_duplicate_Var-96,0.3369558753525412,0.3373680974087537,0.336408150310812,0.3373714886763306,-0.0004122220562123,0.0005477250417291,-3.391267577124397e-06,-9.01932457810739e-06,5.596524924787458e-07,0.3478260869565217,0.0616,23,350,CDU-protocol-v1,protocol_v1_results/controls/exact_duplicate_Var-96/SUMMARY.csv
independent_noise,0.3369558753525412,0.3373680974087537,0.3369557581279926,0.3373628893088958,-0.0004122220562123,1.172245486232801e-07,5.208099857707286e-06,1.561539399370343e-07,1.2315473474224762e-05,0.6956521739130435,0.9801,23,350,CDU-protocol-v1,protocol_v1_results/controls/independent_noise/SUMMARY.csv
